"Latitude","Longitude","Data","Hora","Velocidade","Temperatura","Umidade"
-18.24864,-43.59244,"13/12/2017","15:20:23",2.85,25,59
-18.24864,-43.59244,"13/12/2017","15:20:23",2.85,25,59
-18.24864,-43.59244,"13/12/2017","15:20:23",2.85,25,59
-18.24864,-43.59244,"13/12/2017","15:20:23",2.85,25,59
-18.24864,-43.59244,"13/12/2017","15:20:23",2.85,25,59
-18.24864,-43.59244,"13/12/2017","15:20:23",2.85,25,59
-18.24864,-43.59244,"13/12/2017","15:20:23",2.85,25,59
-18.24864,-43.59244,"13/12/2017","15:20:23",2.85,25,59
-18.24864,-43.59244,"13/12/2017","15:20:23",2.85,25,59
-18.24864,-43.59244,"13/12/2017","15:20:23",2.85,25,59
-18.24864,-43.59244,"13/12/2017","15:20:23",2.85,25,59
-18.24863,-43.59243,"13/12/2017","15:20:24",4.72,25,59
-18.24863,-43.59243,"13/12/2017","15:20:24",4.72,25,59
-18.24863,-43.59243,"13/12/2017","15:20:24",4.72,25,59
-18.24863,-43.59243,"13/12/2017","15:20:24",4.72,25,59
-18.24863,-43.59243,"13/12/2017","15:20:24",4.72,25,59
-18.24863,-43.59243,"13/12/2017","15:20:24",4.72,25,59
-18.24863,-43.59243,"13/12/2017","15:20:24",4.72,25,59
-18.24863,-43.59243,"13/12/2017","15:20:24",4.72,25,59
-18.24863,-43.59243,"13/12/2017","15:20:24",4.72,25,59
-18.24863,-43.59243,"13/12/2017","15:20:24",4.72,25,59
-18.24863,-43.59243,"13/12/2017","15:20:24",4.72,25,59
-18.24863,-43.59243,"13/12/2017","15:20:24",4.72,25,59
-18.24863,-43.59243,"13/12/2017","15:20:24",4.72,25,59
-18.24863,-43.59243,"13/12/2017","15:20:24",4.72,25,59
-18.24863,-43.59243,"13/12/2017","15:20:24",4.72,25,59
-18.24863,-43.59243,"13/12/2017","15:20:24",4.72,25,59
-18.24863,-43.59243,"13/12/2017","15:20:24",4.72,25,59
-18.24863,-43.59243,"13/12/2017","15:20:24",4.72,25,59
-18.24863,-43.59243,"13/12/2017","15:20:24",4.72,25,59
-18.24863,-43.59243,"13/12/2017","15:20:24",4.72,25,59
-18.24863,-43.59243,"13/12/2017","15:20:24",4.72,25,59
-18.24863,-43.59243,"13/12/2017","15:20:24",4.72,25,59
-18.24863,-43.59243,"13/12/2017","15:20:24",4.72,25,59
-18.24863,-43.59243,"13/12/2017","15:20:24",4.72,25,59
-18.24863,-43.59243,"13/12/2017","15:20:24",4.72,25,59
-18.24863,-43.59243,"13/12/2017","15:20:24",4.72,25,59
-18.24863,-43.59243,"13/12/2017","15:20:24",4.72,25,59
-18.24863,-43.59243,"13/12/2017","15:20:24",4.72,25,59
-18.24863,-43.59243,"13/12/2017","15:20:24",4.72,25,59
-18.24863,-43.59243,"13/12/2017","15:20:24",4.72,25,58
-18.24863,-43.59243,"13/12/2017","15:20:24",4.72,25,58
-18.24863,-43.59243,"13/12/2017","15:20:24",4.72,25,58
-18.24863,-43.59243,"13/12/2017","15:20:24",4.72,25,58
-18.24863,-43.59243,"13/12/2017","15:20:24",4.72,25,58
-18.24863,-43.59243,"13/12/2017","15:20:24",4.72,25,58
-18.24863,-43.59243,"13/12/2017","15:20:24",4.72,25,58
-18.24878,-43.59238,"13/12/2017","15:20:28",1.31,25,58
-18.24878,-43.59238,"13/12/2017","15:20:28",1.31,25,58
-18.24878,-43.59238,"13/12/2017","15:20:28",1.31,25,58
-18.24878,-43.59238,"13/12/2017","15:20:28",1.31,25,58
-18.24878,-43.59238,"13/12/2017","15:20:28",1.31,25,58
-18.24878,-43.59238,"13/12/2017","15:20:28",1.31,25,58
-18.24878,-43.59238,"13/12/2017","15:20:28",1.31,25,58
-18.24878,-43.59238,"13/12/2017","15:20:28",1.31,25,58
-18.24878,-43.59238,"13/12/2017","15:20:28",1.31,25,58
-18.24878,-43.59238,"13/12/2017","15:20:28",1.31,25,58
-18.24878,-43.59238,"13/12/2017","15:20:28",1.31,25,58
-18.24878,-43.59238,"13/12/2017","15:20:28",1.31,25,58
-18.24878,-43.59238,"13/12/2017","15:20:28",1.31,25,58
-18.24878,-43.59238,"13/12/2017","15:20:28",1.31,25,58
-18.24878,-43.59238,"13/12/2017","15:20:28",1.31,25,58
-18.24878,-43.59238,"13/12/2017","15:20:28",1.31,25,58
-18.24878,-43.59238,"13/12/2017","15:20:28",1.31,25,58
-18.24878,-43.59238,"13/12/2017","15:20:28",1.31,25,58
-18.24878,-43.59238,"13/12/2017","15:20:28",1.31,25,58
-18.24878,-43.59238,"13/12/2017","15:20:28",1.31,25,58
-18.24878,-43.59238,"13/12/2017","15:20:28",1.31,25,58
-18.24878,-43.59238,"13/12/2017","15:20:28",1.31,25,58
-18.24878,-43.59238,"13/12/2017","15:20:28",1.31,25,58
-18.24878,-43.59238,"13/12/2017","15:20:28",1.31,25,58
