"Latitude","Longitude","Data","Hora","Velocidade","Temperatura","Umidade"
"-18.248880","-43.592441","31/10/2017","03:11:31","0.52","25.00","39.00"
"-18.248880","-43.592441","31/10/2017","03:11:31","0.52","25.00","39.00"
"-18.248880","-43.592445","31/10/2017","03:11:32","0.80","25.00","39.00"
"-18.248880","-43.592445","31/10/2017","03:11:32","0.80","25.00","39.00"
"-18.248874","-43.592441","31/10/2017","03:11:33","0.44","25.00","39.00"
"-18.248874","-43.592441","31/10/2017","03:11:33","0.44","25.00","39.00"
"-18.248863","-43.592437","31/10/2017","03:11:34","1.15","25.00","39.00"
"-18.248863","-43.592437","31/10/2017","03:11:34","1.15","25.00","39.00"
"-18.248851","-43.592433","31/10/2017","03:11:35","1.06","25.00","39.00"
"-18.248851","-43.592433","31/10/2017","03:11:35","1.06","25.00","39.00"
"-18.248842","-43.592430","31/10/2017","03:11:36","0.09","25.00","39.00"
"-18.248842","-43.592430","31/10/2017","03:11:36","0.09","25.00","39.00"
"-18.248836","-43.592426","31/10/2017","03:11:37","0.41","25.00","39.00"
"-18.248836","-43.592426","31/10/2017","03:11:37","0.41","25.00","40.00"
"-18.248826","-43.592422","31/10/2017","03:11:38","1.26","25.00","40.00"
"-18.248826","-43.592422","31/10/2017","03:11:38","1.26","25.00","40.00"
"-18.248819","-43.592418","31/10/2017","03:11:39","2.15","25.00","40.00"
"-18.248819","-43.592418","31/10/2017","03:11:39","2.15","25.00","40.00"
"-18.248815","-43.592418","31/10/2017","03:11:40","1.69","25.00","39.00"
"-18.248815","-43.592418","31/10/2017","03:11:40","1.69","25.00","39.00"
"-18.248811","-43.592414","31/10/2017","03:11:41","1.35","25.00","39.00"
"-18.248811","-43.592414","31/10/2017","03:11:41","1.35","25.00","39.00"
"-18.248815","-43.592414","31/10/2017","03:11:42","1.63","25.00","39.00"
"-18.248815","-43.592414","31/10/2017","03:11:42","1.63","25.00","39.00"
"-18.248813","-43.592414","31/10/2017","03:11:43","0.80","25.00","39.00"
"-18.248813","-43.592414","31/10/2017","03:11:43","0.80","25.00","39.00"
"-18.248813","-43.592414","31/10/2017","03:11:44","0.70","25.00","39.00"
"-18.248813","-43.592414","31/10/2017","03:11:44","0.70","25.00","39.00"
"-18.248811","-43.592414","31/10/2017","03:11:45","1.52","25.00","39.00"
"-18.248811","-43.592414","31/10/2017","03:11:45","1.52","25.00","39.00"
"-18.248813","-43.592414","31/10/2017","03:11:46","1.35","25.00","39.00"
"-18.248813","-43.592414","31/10/2017","03:11:46","1.35","25.00","39.00"
"-18.248811","-43.592414","31/10/2017","03:11:47","0.17","25.00","39.00"
"-18.248811","-43.592414","31/10/2017","03:11:47","0.17","25.00","39.00"
"-18.248807","-43.592411","31/10/2017","03:11:48","0.46","25.00","39.00"
"-18.248807","-43.592411","31/10/2017","03:11:48","0.46","25.00","39.00"
"-18.248804","-43.592411","31/10/2017","03:11:49","0.26","25.00","39.00"
"-18.248804","-43.592411","31/10/2017","03:11:49","0.26","25.00","39.00"
"-18.248802","-43.592411","31/10/2017","03:11:50","0.70","25.00","39.00"
"-18.248802","-43.592411","31/10/2017","03:11:50","0.70","25.00","39.00"
"-18.248800","-43.592411","31/10/2017","03:11:51","1.11","25.00","39.00"
"-18.248800","-43.592411","31/10/2017","03:11:51","1.11","25.00","39.00"
"-18.248800","-43.592407","31/10/2017","03:11:52","0.46","25.00","39.00"
"-18.248800","-43.592407","31/10/2017","03:11:52","0.46","25.00","39.00"
"-18.248798","-43.592407","31/10/2017","03:11:53","0.09","25.00","39.00"
"-18.248798","-43.592407","31/10/2017","03:11:53","0.09","25.00","39.00"
"-18.248800","-43.592407","31/10/2017","03:11:54","0.17","25.00","39.00"
"-18.248800","-43.592407","31/10/2017","03:11:54","0.17","25.00","40.00"
"-18.248798","-43.592407","31/10/2017","03:11:55","1.43","25.00","40.00"
"-18.248798","-43.592407","31/10/2017","03:11:55","1.43","25.00","40.00"
"-18.248798","-43.592407","31/10/2017","03:11:56","1.00","25.00","40.00"
"-18.248798","-43.592407","31/10/2017","03:11:56","1.00","25.00","40.00"
"-18.248798","-43.592407","31/10/2017","03:11:57","0.93","25.00","39.00"
"-18.248798","-43.592407","31/10/2017","03:11:57","0.93","25.00","39.00"
"-18.248794","-43.592407","31/10/2017","03:11:58","0.63","25.00","39.00"
"-18.248794","-43.592407","31/10/2017","03:11:58","0.63","25.00","39.00"
"-18.248794","-43.592407","31/10/2017","03:11:59","0.65","25.00","39.00"
"-18.248794","-43.592407","31/10/2017","03:11:59","0.65","25.00","39.00"
